epoch,iteration,loss,tr_loss,tr_base_loss
0,0,0.9936494827270508,0.9936494827270508,0.9853370785713196
0,1,0.9522302150726318,0.9522302150726318,0.9614105224609375
0,2,1.0037496089935303,1.0037496089935303,1.0161888599395752
0,3,0.9991834163665771,0.9991834163665771,1.014991044998169
0,4,0.9763697981834412,0.9763697981834412,1.007205605506897
0,5,0.9919089078903198,0.9919089078903198,1.0019500255584717
0,6,0.9889122247695923,0.9889122247695923,1.019629955291748
0,7,1.0522116422653198,1.0522116422653198,1.0546154975891113
0,8,1.0196620225906372,1.0196620225906372,1.0116477012634277
0,9,0.9608930349349976,0.9608930349349976,0.9665720462799072
0,10,0.9951332211494446,0.9951332211494446,1.0038435459136963
0,11,0.922787606716156,0.922787606716156,0.9684184193611145
0,12,0.9612500667572021,0.9612500667572021,1.0014762878417969
0,13,0.9852978587150574,0.9852978587150574,0.9984143376350403
0,14,0.9544937014579773,0.9544937014579773,1.0078366994857788
0,15,0.933791995048523,0.933791995048523,0.9678729772567749
0,16,0.9202688932418823,0.9202688932418823,1.0287792682647705
0,17,0.8961669206619263,0.8961669206619263,1.0537948608398438
0,18,0.8947126865386963,0.8947126865386963,1.0108954906463623
0,19,0.835102915763855,0.835102915763855,0.9950416088104248
0,20,0.8907913565635681,0.8907913565635681,0.9553090333938599
0,21,0.8861374855041504,0.8861374855041504,1.0221765041351318
0,22,0.9343143105506897,0.9343143105506897,0.9905015826225281
0,23,0.8902927041053772,0.8902927041053772,1.0006587505340576
0,24,0.7335412502288818,0.7335412502288818,1.005446195602417
0,25,0.834126889705658,0.834126889705658,1.0112570524215698
0,26,0.8505609631538391,0.8505609631538391,0.9890995621681213
0,27,0.9752399921417236,0.9752399921417236,1.0477770566940308
0,28,0.9174084663391113,0.9174084663391113,0.9894695281982422
0,29,0.8322932124137878,0.8322932124137878,1.0139223337173462
0,30,0.847741961479187,0.847741961479187,1.0257173776626587
0,31,0.8727002143859863,0.8727002143859863,1.0177263021469116
0,32,0.8132420182228088,0.8132420182228088,1.0101475715637207
0,33,0.788198709487915,0.788198709487915,1.0169456005096436
0,34,0.834966778755188,0.834966778755188,0.9956574440002441
0,35,0.6613156199455261,0.6613156199455261,1.0143507719039917
0,36,0.930207371711731,0.930207371711731,0.9989816546440125
0,37,0.7585587501525879,0.7585587501525879,0.9865472316741943
0,38,0.9022519588470459,0.9022519588470459,0.9880252480506897
0,39,0.7525131702423096,0.7525131702423096,0.9892235398292542
