epoch,split,loss,tr_loss,tr_base_loss
0,train,0.6620499344767607,0.6620499344767607,0.9996611982617853
0,val,0.6677425228377349,0.6677425228377349,0.9979446648513596
1,train,0.6093817020807696,0.6093817020807696,1.0002355434731163
1,val,0.6010297821794096,0.6010297821794096,1.00119292192878
2,train,0.5968432182707781,0.5968432182707781,1.0000411369095512
2,val,0.5938529345025473,0.5938529345025473,1.0017581721353608
3,train,0.5910470277149991,0.5910470277149991,0.9999351053696517
3,val,0.5740395931337147,0.5740395931337147,0.9998649905981405
4,train,0.5857172557595371,0.5857172557595371,0.9998050387814749
4,val,0.5802451457613554,0.5802451457613554,1.0020989488786087
5,train,0.5805612756916178,0.5805612756916178,0.9993799881969424
5,val,0.5858908363588452,0.5858908363588452,0.9977064667876872
6,train,0.576272406211544,0.576272406211544,0.9994311088957781
6,val,0.5771705811260109,0.5771705811260109,0.9986930113928416
7,train,0.5761542647050123,0.5761542647050123,1.000257267459059
7,val,0.5721253672093068,0.5721253672093068,1.002433930790602
8,train,0.5736774067588035,0.5736774067588035,1.0004232941771583
8,val,0.5648911303702836,0.5648911303702836,0.9979075575985894
9,train,0.5732936779688091,0.5732936779688091,0.9999523921159126
9,val,0.5768994948533765,0.5768994948533765,1.0014625340776744
10,train,0.5699081565339833,0.5699081565339833,1.0000508433713555
10,val,0.5715795347706142,0.5715795347706142,0.999116440729246
11,train,0.5689634866941973,0.5689634866941973,0.9999131964987221
11,val,0.5646742816849173,0.5646742816849173,1.00100118417885
12,train,0.5681608085242332,0.5681608085242332,1.0003651478488262
12,val,0.5682038422374474,0.5682038422374474,0.9986952479943784
13,train,0.5670380944422094,0.5670380944422094,0.999584933204752
13,val,0.5660849164405666,0.5660849164405666,0.996671428594666
14,train,0.5654352802708491,0.5654352802708491,0.999636146346081
14,val,0.5752664707403721,0.5752664707403721,0.9981610052181947
15,train,0.5638161499994083,0.5638161499994083,0.9999755951817494
15,val,0.5781045655950499,0.5781045655950499,1.0009133467366764
16,train,0.5657650226447132,0.5657650226447132,1.000185716969188
16,val,0.5649097856603749,0.5649097856603749,0.9979709957512704
17,train,0.562466489596152,0.562466489596152,0.9996765437156854
17,val,0.5833206253700559,0.5833206253700559,1.0005912761153728
18,train,0.5626671822492664,0.5626671822492664,0.9995941774540894
18,val,0.5622464507166884,0.5622464507166884,0.996873332715218
19,train,0.5637348468264862,0.5637348468264862,1.0002091973625047
19,val,0.5770247953712921,0.5770247953712921,1.0014491144684534
20,train,0.5622173570765099,0.5622173570765099,0.9996018501810394
20,val,0.5674311472383258,0.5674311472383258,1.001961092892975
21,train,0.5611281996195806,0.5611281996195806,1.000440303595939
21,val,0.56307373912605,0.56307373912605,1.0035900504577306
22,train,0.5618560918124054,0.5618560918124054,0.9994112337597028
22,val,0.5628359477172025,0.5628359477172025,1.003292480789626
23,train,0.5593257096625331,0.5593257096625331,0.9999510054785119
23,val,0.5731959876995049,0.5731959876995049,0.9984120129088507
24,train,0.5596731085526315,0.5596731085526315,0.9997636245444433
24,val,0.5653010384337608,0.5653010384337608,0.9961113632371026
25,train,0.558956263237765,0.558956263237765,0.9997603890571753
25,val,0.5564483153917225,0.5564483153917225,0.9991899435888427
26,train,0.5572552289171951,0.5572552289171951,1.000548646198173
26,val,0.5636240447678164,0.5636240447678164,0.9962275648533114
27,train,0.5580326240652215,0.5580326240652215,1.0002612424862742
27,val,0.5687385933321621,0.5687385933321621,0.9978496092860443
28,train,0.5573421248609665,0.5573421248609665,1.0004185796099963
28,val,0.5601671737652333,0.5601671737652333,0.9994372913860748
29,train,0.5557726362084674,0.5557726362084674,1.0003604332816642
29,val,0.5746360540981047,0.5746360540981047,1.0030338483210035
30,train,0.557429436795958,0.557429436795958,1.0005525287828947
30,val,0.564185126762442,0.564185126762442,1.0026607425191778
31,train,0.5542000969536871,0.5542000969536871,0.9994856499668686
31,val,0.5709447974208325,0.5709447974208325,0.9972436935969758
32,train,0.5550404916609476,0.5550404916609476,0.9993980144831504
32,val,0.5719803947642378,0.5719803947642378,0.999671219574086
33,train,0.5563563643328758,0.5563563643328758,1.0000883750236653
33,val,0.5628204948338571,0.5628204948338571,1.001705510335539
34,train,0.5539693142689796,0.5539693142689796,1.0002528302193772
34,val,0.5700489368416258,0.5700489368416258,1.0001735399465168
35,train,0.5534824196563801,0.5534824196563801,1.0000466834591537
35,val,0.5635778894451927,0.5635778894451927,1.0030936265802606
36,train,0.5550361006425123,0.5550361006425123,0.9995342747183832
36,val,0.5620648285055273,0.5620648285055273,0.9998557392008744
37,train,0.5547736101825776,0.5547736101825776,1.00054143568369
37,val,0.5707478748218852,0.5707478748218852,0.998065746325467
38,train,0.5560873566771583,0.5560873566771583,1.0001885826864825
38,val,0.5679445489547345,0.5679445489547345,1.0007140858724861
39,train,0.5518393930004023,0.5518393930004023,0.9998930440351667
39,val,0.5741202124527467,0.5741202124527467,0.9953639316689765
40,train,0.5540498316807081,0.5540498316807081,0.999607951385602
40,val,0.5789135545372919,0.5789135545372919,1.0008919973583703
41,train,0.5539267907220277,0.5539267907220277,0.9998300906971791
41,val,0.5717051911115015,0.5717051911115015,1.0020943740118289
42,train,0.5538494625763205,0.5538494625763205,1.0002778821350815
42,val,0.5638909628284957,0.5638909628284957,1.0009653985542608
43,train,0.5525988080834674,0.5525988080834674,1.0003253975766755
43,val,0.5582574718757524,0.5582574718757524,1.0021951227446924
44,train,0.552730538636525,0.552730538636525,0.999382853914237
44,val,0.5644243414631765,0.5644243414631765,1.0013113601465258
45,train,0.5519672409687382,0.5519672409687382,0.9999096836839739
45,val,0.5733193566070023,0.5733193566070023,0.9974133703226562
46,train,0.552138490687713,0.552138490687713,0.9998943382300738
46,val,0.5495787462669087,0.5495787462669087,1.0026261768590632
47,train,0.5536724814227565,0.5536724814227565,1.0001009472027642
47,val,0.5621566308322435,0.5621566308322435,1.0038510211915963
48,train,0.5516009838099915,0.5516009838099915,1.0006509800383379
48,val,0.568237492924206,0.568237492924206,0.997333157658449
49,train,0.5512601021156759,0.5512601021156759,1.0010571723542219
49,val,0.5766503171094325,0.5766503171094325,0.9992737144827676
50,train,0.5534978575527736,0.5534978575527736,1.000340650588082
50,val,0.561300164939197,0.561300164939197,0.997430856480126
51,train,0.5537883118669538,0.5537883118669538,1.0006231548478322
51,val,0.5637887908037451,0.5637887908037451,0.9986999245248646
52,train,0.5507019343406854,0.5507019343406854,1.0003256749041556
52,val,0.5693357659424958,0.5693357659424958,0.9995774856369516
