epoch,split,loss,tr_loss,tr_base_loss
0,train,0.6269197576807514,0.6269197576807514,0.9998650559243645
0,val,0.5961986490407841,0.5961986490407841,1.0012480587104327
1,train,0.594331193564372,0.594331193564372,1.0002835300386987
1,val,0.5779885727347299,0.5779885727347299,1.000224727571013
2,train,0.5842057176960106,0.5842057176960106,0.9996870968883715
2,val,0.5633470851476353,0.5633470851476353,0.9985162711677567
3,train,0.581686515817707,0.581686515817707,1.0001173693918324
3,val,0.574524090228221,0.574524090228221,1.0001661646602622
4,train,0.5785869192242953,0.5785869192242953,0.9999483820475711
4,val,0.5722994595190465,0.5722994595190465,1.0014592094128631
5,train,0.57532048603464,0.57532048603464,1.0000928508644287
5,val,0.5728158364647942,0.5728158364647942,1.000486436910926
6,train,0.574458036079474,0.574458036079474,0.9996927502831613
6,val,0.5759711412513091,0.5759711412513091,1.0030038315138978
7,train,0.572061918437736,0.572061918437736,1.0001454520159514
7,val,0.5745028637060717,0.5745028637060717,0.9998419409329213
8,train,0.5701470153025107,0.5701470153025107,0.999777735554839
8,val,0.5671886803770073,0.5671886803770073,0.9986742289149204
9,train,0.5697536742150139,0.5697536742150139,1.0000234738783664
9,val,0.5739666280570245,0.5739666280570245,1.0005113616099652
10,train,0.5682020631449786,0.5682020631449786,0.9996466013756922
10,val,0.5693368652104698,0.5693368652104698,1.001467112366217
11,train,0.5675471910985087,0.5675471910985087,0.9998590338299144
11,val,0.5608392652766114,0.5608392652766114,1.000195750075382
12,train,0.5674985841933048,0.5674985841933048,0.99993449436037
12,val,0.5613029558666662,0.5613029558666662,0.998544134144325
13,train,0.5665884490820853,0.5665884490820853,0.999611329108199
13,val,0.5752307966339093,0.5752307966339093,1.0016201054375562
14,train,0.5665702598988485,0.5665702598988485,0.9999713028764473
14,val,0.5696991852257732,0.5696991852257732,1.000928090419513
15,train,0.5649320658586081,0.5649320658586081,1.0000014747986408
15,val,0.5666061415268993,0.5666061415268993,1.0006478395351928
16,train,0.5649207590690284,0.5649207590690284,1.0000306635217404
16,val,0.563639139802029,0.563639139802029,1.0017979218880195
17,train,0.5639040083060659,0.5639040083060659,0.9997140119635666
17,val,0.5684131822072503,0.5684131822072503,1.0007845201002499
18,train,0.5643471238476907,0.5643471238476907,1.0001394913714448
18,val,0.5714639755016552,0.5714639755016552,1.0028589440357425
19,train,0.5629215466115026,0.5629215466115026,1.0003700515589604
19,val,0.5581085922529982,0.5581085922529982,1.0017058220854718
20,train,0.5636881346550151,0.5636881346550151,0.9997846793984395
20,val,0.5701447395510798,0.5701447395510798,1.0004301030383005
21,train,0.5624865424624025,0.5624865424624025,1.0001053866528757
21,val,0.5667541699224132,0.5667541699224132,1.0007477409711798
22,train,0.5630531723901964,0.5630531723901964,1.0001128220960231
22,val,0.5702959088639524,0.5702959088639524,1.001511997088471
23,train,0.5617361157539957,0.5617361157539957,1.0001724899910331
23,val,0.5587566344280207,0.5587566344280207,1.0006503725330627
24,train,0.560100871311037,0.560100871311037,0.9997653226662786
24,val,0.5619150801318942,0.5619150801318942,0.9982139325420113
25,train,0.5606612947945507,0.5606612947945507,0.9999178414257174
25,val,0.5696357082991548,0.5696357082991548,0.9997747658294129
26,train,0.5600764142335767,0.5600764142335767,0.9999513930947961
26,val,0.5670503786933135,0.5670503786933135,0.9999471110044775
27,train,0.5607926133235276,0.5607926133235276,0.999708727268437
27,val,0.5597905028385788,0.5597905028385788,1.0013644752925308
28,train,0.559425597883369,0.559425597883369,0.9998139910214259
28,val,0.565170539654183,0.565170539654183,0.9992916724756751
29,train,0.561447731169771,0.561447731169771,1.0001397986211615
29,val,0.5712938087047587,0.5712938087047587,1.001724971549368
30,train,0.5608280699408508,0.5608280699408508,1.0001970699683804
30,val,0.570256039477481,0.570256039477481,1.0018135251548979
31,train,0.5598395861518374,0.5598395861518374,1.0000018434983011
